ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93117,1,2017,Elec- Agricultural,Y,0,0,
93117,2,2017,Elec- Agricultural,Y,0,0,
93117,3,2017,Elec- Agricultural,Y,0,0,
93203,1,2017,Elec- Agricultural,Y,0,0,
93203,2,2017,Elec- Agricultural,Y,0,0,
93203,3,2017,Elec- Agricultural,Y,158,"5,041,211","31,906"
93204,1,2017,Elec- Agricultural,Y,0,0,
93204,2,2017,Elec- Agricultural,Y,0,0,
93204,3,2017,Elec- Agricultural,Y,0,0,
93206,1,2017,Elec- Agricultural,Y,302,"8,809,508","29,171"
93206,2,2017,Elec- Agricultural,Y,0,0,
93206,3,2017,Elec- Agricultural,Y,0,0,
93210,1,2017,Elec- Agricultural,Y,0,0,
93210,2,2017,Elec- Agricultural,Y,0,0,
93210,3,2017,Elec- Agricultural,Y,132,"2,304,934","17,462"
93212,1,2017,Elec- Agricultural,Y,0,0,
93212,2,2017,Elec- Agricultural,Y,312,"4,646,107","14,891"
93212,3,2017,Elec- Agricultural,Y,256,"5,734,852","22,402"
93215,1,2017,Elec- Agricultural,Y,0,0,
93215,2,2017,Elec- Agricultural,Y,0,0,
93215,3,2017,Elec- Agricultural,Y,0,0,
93219,1,2017,Elec- Agricultural,Y,0,0,
93219,2,2017,Elec- Agricultural,Y,0,0,
93219,3,2017,Elec- Agricultural,Y,0,0,
93225,1,2017,Elec- Agricultural,Y,0,0,
93225,2,2017,Elec- Agricultural,Y,0,0,
93225,3,2017,Elec- Agricultural,Y,0,0,
93230,1,2017,Elec- Agricultural,Y,0,0,
93230,2,2017,Elec- Agricultural,N,374,"1,368,184","3,658"
93230,3,2017,Elec- Agricultural,N,379,"1,821,832","4,807"
93234,1,2017,Elec- Agricultural,Y,0,0,
93234,2,2017,Elec- Agricultural,Y,0,0,
93234,3,2017,Elec- Agricultural,Y,0,0,
93239,1,2017,Elec- Agricultural,Y,0,0,
93239,2,2017,Elec- Agricultural,Y,0,0,
93239,3,2017,Elec- Agricultural,Y,0,0,
93241,1,2017,Elec- Agricultural,Y,0,0,
93241,2,2017,Elec- Agricultural,Y,0,0,
93241,3,2017,Elec- Agricultural,Y,0,0,
93242,1,2017,Elec- Agricultural,Y,0,0,
93242,2,2017,Elec- Agricultural,Y,0,0,
93242,3,2017,Elec- Agricultural,Y,0,0,
93243,1,2017,Elec- Agricultural,Y,0,0,
93243,2,2017,Elec- Agricultural,Y,0,0,
93243,3,2017,Elec- Agricultural,Y,0,0,
93245,1,2017,Elec- Agricultural,Y,0,0,
93245,2,2017,Elec- Agricultural,Y,0,0,
93245,3,2017,Elec- Agricultural,Y,596,"2,945,390","4,942"
93249,1,2017,Elec- Agricultural,Y,0,0,
93249,2,2017,Elec- Agricultural,Y,0,0,
93249,3,2017,Elec- Agricultural,Y,0,0,
93250,1,2017,Elec- Agricultural,Y,0,0,
93250,2,2017,Elec- Agricultural,Y,0,0,
93250,3,2017,Elec- Agricultural,Y,0,0,
93251,1,2017,Elec- Agricultural,Y,0,0,
93251,2,2017,Elec- Agricultural,Y,0,0,
93251,3,2017,Elec- Agricultural,Y,0,0,
93252,1,2017,Elec- Agricultural,Y,0,0,
93252,2,2017,Elec- Agricultural,Y,0,0,
93252,3,2017,Elec- Agricultural,Y,0,0,
93254,1,2017,Elec- Agricultural,Y,0,0,
93254,2,2017,Elec- Agricultural,Y,0,0,
93254,3,2017,Elec- Agricultural,Y,0,0,
93256,1,2017,Elec- Agricultural,Y,0,0,
93256,2,2017,Elec- Agricultural,Y,0,0,
93256,3,2017,Elec- Agricultural,Y,0,0,
93262,1,2017,Elec- Agricultural,Y,0,0,
93262,2,2017,Elec- Agricultural,Y,0,0,
93262,3,2017,Elec- Agricultural,Y,0,0,
93263,1,2017,Elec- Agricultural,Y,0,0,
93263,2,2017,Elec- Agricultural,Y,0,0,
93263,3,2017,Elec- Agricultural,Y,0,0,
93266,1,2017,Elec- Agricultural,Y,0,0,
93266,2,2017,Elec- Agricultural,Y,0,0,
93266,3,2017,Elec- Agricultural,Y,0,0,
93268,1,2017,Elec- Agricultural,Y,0,0,
93268,2,2017,Elec- Agricultural,Y,0,0,
93268,3,2017,Elec- Agricultural,Y,0,0,
93272,1,2017,Elec- Agricultural,Y,0,0,
93272,2,2017,Elec- Agricultural,Y,0,0,
93272,3,2017,Elec- Agricultural,Y,0,0,
93274,1,2017,Elec- Agricultural,Y,0,0,
93274,2,2017,Elec- Agricultural,Y,0,0,
93274,3,2017,Elec- Agricultural,Y,0,0,
93276,1,2017,Elec- Agricultural,Y,0,0,
93276,2,2017,Elec- Agricultural,Y,0,0,
93276,3,2017,Elec- Agricultural,Y,0,0,
93277,1,2017,Elec- Agricultural,Y,0,0,
93277,2,2017,Elec- Agricultural,Y,0,0,
93277,3,2017,Elec- Agricultural,Y,0,0,
93280,1,2017,Elec- Agricultural,Y,0,0,
93280,2,2017,Elec- Agricultural,Y,854,"12,194,989","14,280"
93280,3,2017,Elec- Agricultural,Y,"1,004","28,245,831","28,133"
93286,1,2017,Elec- Agricultural,Y,0,0,
93286,2,2017,Elec- Agricultural,Y,0,0,
93286,3,2017,Elec- Agricultural,Y,0,0,
93291,1,2017,Elec- Agricultural,Y,0,0,
93291,2,2017,Elec- Agricultural,Y,0,0,
93291,3,2017,Elec- Agricultural,Y,0,0,
93292,1,2017,Elec- Agricultural,Y,0,0,
93292,2,2017,Elec- Agricultural,Y,0,0,
93292,3,2017,Elec- Agricultural,Y,0,0,
93301,1,2017,Elec- Agricultural,Y,0,0,
93301,2,2017,Elec- Agricultural,Y,0,0,
93301,3,2017,Elec- Agricultural,Y,0,0,
93304,1,2017,Elec- Agricultural,Y,0,0,
93304,2,2017,Elec- Agricultural,Y,0,0,
93304,3,2017,Elec- Agricultural,Y,0,0,
93305,1,2017,Elec- Agricultural,Y,0,0,
93305,2,2017,Elec- Agricultural,Y,0,0,
93305,3,2017,Elec- Agricultural,Y,0,0,
93306,1,2017,Elec- Agricultural,Y,0,0,
93306,2,2017,Elec- Agricultural,Y,0,0,
93306,3,2017,Elec- Agricultural,Y,0,0,
93307,1,2017,Elec- Agricultural,Y,"1,009","10,180,866","10,090"
93307,2,2017,Elec- Agricultural,Y,"1,188","13,766,326","11,588"
93307,3,2017,Elec- Agricultural,Y,453,"9,885,423","21,822"
93308,1,2017,Elec- Agricultural,Y,0,0,
93308,2,2017,Elec- Agricultural,Y,0,0,
93308,3,2017,Elec- Agricultural,Y,573,"10,001,022","17,454"
