ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93117,9,2017,Elec- Agricultural,Y,0,0,
93117,10,2017,Elec- Agricultural,Y,0,0,
93117,11,2017,Elec- Agricultural,Y,0,0,
93117,12,2017,Elec- Agricultural,Y,0,0,
93203,9,2017,Elec- Agricultural,Y,0,0,
93203,10,2017,Elec- Agricultural,Y,0,0,
93203,11,2017,Elec- Agricultural,Y,0,0,
93203,12,2017,Elec- Agricultural,Y,0,0,
93204,9,2017,Elec- Agricultural,Y,0,0,
93204,10,2017,Elec- Agricultural,Y,0,0,
93204,11,2017,Elec- Agricultural,Y,0,0,
93204,12,2017,Elec- Agricultural,Y,0,0,
93206,9,2017,Elec- Agricultural,Y,0,0,
93206,10,2017,Elec- Agricultural,Y,0,0,
93206,11,2017,Elec- Agricultural,Y,0,0,
93206,12,2017,Elec- Agricultural,Y,0,0,
93210,9,2017,Elec- Agricultural,Y,0,0,
93210,10,2017,Elec- Agricultural,Y,409,"6,895,453","16,859"
93210,11,2017,Elec- Agricultural,Y,339,"6,214,815","18,333"
93210,12,2017,Elec- Agricultural,Y,0,0,
93212,9,2017,Elec- Agricultural,Y,278,"9,420,211","33,886"
93212,10,2017,Elec- Agricultural,Y,278,"8,155,588","29,337"
93212,11,2017,Elec- Agricultural,Y,0,0,
93212,12,2017,Elec- Agricultural,Y,0,0,
93215,9,2017,Elec- Agricultural,Y,0,0,
93215,10,2017,Elec- Agricultural,Y,0,0,
93215,11,2017,Elec- Agricultural,Y,0,0,
93215,12,2017,Elec- Agricultural,Y,0,0,
93219,9,2017,Elec- Agricultural,Y,0,0,
93219,10,2017,Elec- Agricultural,Y,0,0,
93219,11,2017,Elec- Agricultural,Y,0,0,
93219,12,2017,Elec- Agricultural,Y,0,0,
93225,9,2017,Elec- Agricultural,Y,0,0,
93225,10,2017,Elec- Agricultural,Y,0,0,
93225,11,2017,Elec- Agricultural,Y,0,0,
93225,12,2017,Elec- Agricultural,Y,0,0,
93230,9,2017,Elec- Agricultural,Y,390,"5,984,912","15,346"
93230,10,2017,Elec- Agricultural,N,385,"6,755,770","17,547"
93230,11,2017,Elec- Agricultural,Y,662,"10,284,885","15,536"
93230,12,2017,Elec- Agricultural,Y,669,"11,535,369","17,243"
93234,9,2017,Elec- Agricultural,Y,0,0,
93234,10,2017,Elec- Agricultural,Y,0,0,
93234,11,2017,Elec- Agricultural,Y,0,0,
93234,12,2017,Elec- Agricultural,Y,0,0,
93239,9,2017,Elec- Agricultural,Y,0,0,
93239,10,2017,Elec- Agricultural,Y,0,0,
93239,11,2017,Elec- Agricultural,Y,0,0,
93239,12,2017,Elec- Agricultural,Y,0,0,
93241,9,2017,Elec- Agricultural,Y,0,0,
93241,10,2017,Elec- Agricultural,Y,0,0,
93241,11,2017,Elec- Agricultural,Y,0,0,
93241,12,2017,Elec- Agricultural,Y,0,0,
93242,9,2017,Elec- Agricultural,Y,0,0,
93242,10,2017,Elec- Agricultural,Y,0,0,
93242,11,2017,Elec- Agricultural,Y,0,0,
93242,12,2017,Elec- Agricultural,Y,0,0,
93243,9,2017,Elec- Agricultural,Y,0,0,
93243,10,2017,Elec- Agricultural,Y,0,0,
93243,11,2017,Elec- Agricultural,Y,0,0,
93243,12,2017,Elec- Agricultural,Y,0,0,
93245,9,2017,Elec- Agricultural,Y,880,"10,546,759","11,985"
93245,10,2017,Elec- Agricultural,Y,627,"3,805,363","6,069"
93245,11,2017,Elec- Agricultural,Y,833,"7,192,814","8,635"
93245,12,2017,Elec- Agricultural,Y,"1,176","12,616,309","10,728"
93249,9,2017,Elec- Agricultural,Y,0,0,
93249,10,2017,Elec- Agricultural,Y,0,0,
93249,11,2017,Elec- Agricultural,Y,0,0,
93249,12,2017,Elec- Agricultural,Y,0,0,
93250,9,2017,Elec- Agricultural,Y,357,"6,699,860","18,767"
93250,10,2017,Elec- Agricultural,Y,364,"6,165,353","16,938"
93250,11,2017,Elec- Agricultural,Y,0,0,
93250,12,2017,Elec- Agricultural,Y,0,0,
93251,9,2017,Elec- Agricultural,Y,0,0,
93251,10,2017,Elec- Agricultural,Y,0,0,
93251,11,2017,Elec- Agricultural,Y,0,0,
93251,12,2017,Elec- Agricultural,Y,0,0,
93252,9,2017,Elec- Agricultural,Y,0,0,
93252,10,2017,Elec- Agricultural,Y,0,0,
93252,11,2017,Elec- Agricultural,Y,0,0,
93252,12,2017,Elec- Agricultural,Y,0,0,
93254,9,2017,Elec- Agricultural,Y,0,0,
