ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93117,7,2017,Elec- Agricultural,Y,0,0,
93117,8,2017,Elec- Agricultural,Y,0,0,
93117,9,2017,Elec- Agricultural,Y,0,0,
93203,7,2017,Elec- Agricultural,Y,160,"11,283,384","70,521"
93203,8,2017,Elec- Agricultural,Y,163,"11,132,040","68,295"
93203,9,2017,Elec- Agricultural,Y,0,0,
93204,7,2017,Elec- Agricultural,Y,0,0,
93204,8,2017,Elec- Agricultural,Y,0,0,
93204,9,2017,Elec- Agricultural,Y,0,0,
93206,7,2017,Elec- Agricultural,Y,0,0,
93206,8,2017,Elec- Agricultural,Y,0,0,
93206,9,2017,Elec- Agricultural,Y,0,0,
93210,7,2017,Elec- Agricultural,Y,0,0,
93210,8,2017,Elec- Agricultural,Y,0,0,
93210,9,2017,Elec- Agricultural,Y,0,0,
93212,7,2017,Elec- Agricultural,Y,0,0,
93212,8,2017,Elec- Agricultural,Y,294,"16,943,875","57,632"
93212,9,2017,Elec- Agricultural,Y,279,"9,714,925","34,821"
93215,7,2017,Elec- Agricultural,Y,0,0,
93215,8,2017,Elec- Agricultural,Y,0,0,
93215,9,2017,Elec- Agricultural,Y,0,0,
93219,7,2017,Elec- Agricultural,Y,0,0,
93219,8,2017,Elec- Agricultural,Y,0,0,
93219,9,2017,Elec- Agricultural,Y,0,0,
93225,7,2017,Elec- Agricultural,Y,0,0,
93225,8,2017,Elec- Agricultural,Y,0,0,
93225,9,2017,Elec- Agricultural,Y,0,0,
93230,7,2017,Elec- Agricultural,N,380,"9,623,999","25,326"
93230,8,2017,Elec- Agricultural,N,383,"8,982,584","23,453"
93230,9,2017,Elec- Agricultural,Y,390,"5,968,966","15,305"
93234,7,2017,Elec- Agricultural,Y,0,0,
93234,8,2017,Elec- Agricultural,Y,0,0,
93234,9,2017,Elec- Agricultural,Y,0,0,
93239,7,2017,Elec- Agricultural,Y,0,0,
93239,8,2017,Elec- Agricultural,Y,0,0,
93239,9,2017,Elec- Agricultural,Y,0,0,
93241,7,2017,Elec- Agricultural,Y,0,0,
93241,8,2017,Elec- Agricultural,Y,0,0,
93241,9,2017,Elec- Agricultural,Y,0,0,
93242,7,2017,Elec- Agricultural,N,226,"3,838,010","16,982"
93242,8,2017,Elec- Agricultural,Y,0,0,
93242,9,2017,Elec- Agricultural,Y,0,0,
93243,7,2017,Elec- Agricultural,Y,0,0,
93243,8,2017,Elec- Agricultural,Y,0,0,
93243,9,2017,Elec- Agricultural,Y,0,0,
93245,7,2017,Elec- Agricultural,Y,"1,068","31,267,155","29,276"
93245,8,2017,Elec- Agricultural,Y,746,"13,787,340","18,482"
93245,9,2017,Elec- Agricultural,Y,879,"10,529,575","11,979"
93249,7,2017,Elec- Agricultural,Y,0,0,
93249,8,2017,Elec- Agricultural,Y,0,0,
93249,9,2017,Elec- Agricultural,Y,0,0,
93250,7,2017,Elec- Agricultural,Y,0,0,
93250,8,2017,Elec- Agricultural,Y,0,0,
93250,9,2017,Elec- Agricultural,Y,357,"6,680,315","18,712"
93251,7,2017,Elec- Agricultural,Y,0,0,
93251,8,2017,Elec- Agricultural,Y,0,0,
93251,9,2017,Elec- Agricultural,Y,0,0,
93252,7,2017,Elec- Agricultural,Y,0,0,
93252,8,2017,Elec- Agricultural,Y,0,0,
93252,9,2017,Elec- Agricultural,Y,0,0,
93254,7,2017,Elec- Agricultural,Y,0,0,
93254,8,2017,Elec- Agricultural,Y,0,0,
93254,9,2017,Elec- Agricultural,Y,0,0,
93256,7,2017,Elec- Agricultural,Y,0,0,
93256,8,2017,Elec- Agricultural,Y,0,0,
93256,9,2017,Elec- Agricultural,Y,0,0,
93262,7,2017,Elec- Agricultural,Y,0,0,
93262,8,2017,Elec- Agricultural,Y,0,0,
93262,9,2017,Elec- Agricultural,Y,0,0,
93263,7,2017,Elec- Agricultural,Y,0,0,
93263,8,2017,Elec- Agricultural,Y,0,0,
93263,9,2017,Elec- Agricultural,Y,0,0,
93266,7,2017,Elec- Agricultural,Y,0,0,
93266,8,2017,Elec- Agricultural,Y,0,0,
93266,9,2017,Elec- Agricultural,Y,0,0,
93268,7,2017,Elec- Agricultural,Y,0,0,
93268,8,2017,Elec- Agricultural,Y,0,0,
93268,9,2017,Elec- Agricultural,Y,0,0,
93272,7,2017,Elec- Agricultural,Y,0,0,
93272,8,2017,Elec- Agricultural,Y,0,0,
93272,9,2017,Elec- Agricultural,Y,0,0,
93274,7,2017,Elec- Agricultural,Y,70,"2,701,243","38,589"
93274,8,2017,Elec- Agricultural,Y,0,0,
93274,9,2017,Elec- Agricultural,Y,0,0,
93276,7,2017,Elec- Agricultural,Y,0,0,
93276,8,2017,Elec- Agricultural,Y,0,0,
93276,9,2017,Elec- Agricultural,Y,0,0,
93277,7,2017,Elec- Agricultural,Y,0,0,
93277,8,2017,Elec- Agricultural,Y,0,0,
93277,9,2017,Elec- Agricultural,Y,0,0,
93280,7,2017,Elec- Agricultural,Y,927,"75,447,205","81,389"
93280,8,2017,Elec- Agricultural,Y,920,"69,602,096","75,654"
93280,9,2017,Elec- Agricultural,Y,692,"33,469,730","48,367"
93286,7,2017,Elec- Agricultural,Y,179,"882,220","4,929"
93286,8,2017,Elec- Agricultural,Y,179,"931,912","5,206"
93286,9,2017,Elec- Agricultural,Y,179,"763,097","4,263"
93291,7,2017,Elec- Agricultural,Y,0,0,
93291,8,2017,Elec- Agricultural,Y,0,0,
93291,9,2017,Elec- Agricultural,Y,0,0,
93292,7,2017,Elec- Agricultural,Y,0,0,
93292,8,2017,Elec- Agricultural,Y,0,0,
93292,9,2017,Elec- Agricultural,Y,0,0,
93301,7,2017,Elec- Agricultural,Y,0,0,
93301,8,2017,Elec- Agricultural,Y,0,0,
93301,9,2017,Elec- Agricultural,Y,0,0,
93304,7,2017,Elec- Agricultural,Y,201,"5,739,768","28,556"
93304,8,2017,Elec- Agricultural,Y,0,0,
93304,9,2017,Elec- Agricultural,Y,0,0,
93305,7,2017,Elec- Agricultural,Y,0,0,
93305,8,2017,Elec- Agricultural,Y,0,0,
93305,9,2017,Elec- Agricultural,Y,0,0,
93306,7,2017,Elec- Agricultural,Y,0,0,
93306,8,2017,Elec- Agricultural,Y,0,0,
93306,9,2017,Elec- Agricultural,Y,0,0,
93307,7,2017,Elec- Agricultural,Y,384,"20,949,651","54,556"
93307,8,2017,Elec- Agricultural,Y,"1,082","51,716,719","47,797"
93307,9,2017,Elec- Agricultural,Y,"1,080","44,756,197","41,441"
93308,7,2017,Elec- Agricultural,Y,197,"7,667,311","38,920"
93308,8,2017,Elec- Agricultural,Y,0,0,
93308,9,2017,Elec- Agricultural,Y,0,0,
93309,7,2017,Elec- Agricultural,Y,0,0,
93309,8,2017,Elec- Agricultural,Y,0,0,
93309,9,2017,Elec- Agricultural,Y,0,0,
93311,7,2017,Elec- Agricultural,Y,0,0,
93311,8,2017,Elec- Agricultural,Y,0,0,
93311,9,2017,Elec- Agricultural,Y,0,0,
93312,7,2017,Elec- Agricultural,Y,0,0,
93312,8,2017,Elec- Agricultural,Y,0,0,
93312,9,2017,Elec- Agricultural,Y,0,0,
93313,7,2017,Elec- Agricultural,Y,273,"12,036,986","44,092"
93313,8,2017,Elec- Agricultural,Y,0,0,
93313,9,2017,Elec- Agricultural,Y,0,0,
93314,7,2017,Elec- Agricultural,Y,0,0,
93314,8,2017,Elec- Agricultural,Y,0,0,
93314,9,2017,Elec- Agricultural,Y,0,0,
93401,7,2017,Elec- Agricultural,Y,0,0,
93401,8,2017,Elec- Agricultural,Y,0,0,
93401,9,2017,Elec- Agricultural,Y,0,0,
93402,7,2017,Elec- Agricultural,Y,0,0,
93402,8,2017,Elec- Agricultural,Y,0,0,
93402,9,2017,Elec- Agricultural,Y,0,0,
93405,7,2017,Elec- Agricultural,Y,0,0,
93405,8,2017,Elec- Agricultural,Y,0,0,
93405,9,2017,Elec- Agricultural,Y,0,0,
93420,7,2017,Elec- Agricultural,Y,"1,360","43,653,860","32,098"
93420,8,2017,Elec- Agricultural,Y,"1,159","34,385,072","29,668"
93420,9,2017,Elec- Agricultural,Y,"1,193","41,813,836","35,049"
93422,7,2017,Elec- Agricultural,Y,0,0,
